stage,group,team_a,team_b,p_a_win,p_draw,p_b_win,expected_goals_a,expected_goals_b,projected_winner
group,A,Mexico,South Africa,0.5516869322973728,0.19760795214247276,0.2507051155601545,1.679360835116599,0.8563638018021703,Mexico
group,A,Mexico,South Korea,0.3241599693393689,0.31805588710641186,0.3577841435542192,1.0675655775210786,1.0594958559311598,South Korea
group,A,Mexico,Czech Republic,0.5336592793464661,0.18904489278793335,0.2772958278656006,1.5257777570501014,0.9162263390793736,Mexico
group,A,South Africa,South Korea,0.2883454730356273,0.19676513090289544,0.5148893960614772,0.9554349941600325,1.5574550316388025,South Korea
group,A,South Africa,Czech Republic,0.4708222448825836,0.21533310413360596,0.3138446509838104,1.3440952712925829,1.1949684068822293,South Africa
group,A,South Korea,Czech Republic,0.4942279759509578,0.1810834001849055,0.3246886238641367,1.4207789374992201,1.0333494525914106,South Korea
group,B,Canada,Bosnia-Herzegovina,0.5271749732125538,0.1871842974655761,0.28564072932187,1.4741534655348654,0.9203498988638907,Canada
group,B,Canada,Qatar,0.5237439068961074,0.2063164715704673,0.26993962153342527,1.5083562004687172,0.8767684651662088,Canada
group,B,Canada,Switzerland,0.38371771574020386,0.31735333800315857,0.2989289462566376,1.13777247360168,1.0262959459196275,Canada
group,B,Bosnia-Herzegovina,Qatar,0.2844280515781626,0.3450142042334615,0.37055774418837595,1.1702349767914721,1.2615385779626629,Qatar
group,B,Bosnia-Herzegovina,Switzerland,0.24861868853727814,0.21873386064664568,0.5326474508160762,0.9585278709445333,1.640747959653321,Switzerland
group,B,Qatar,Switzerland,0.21972839026429014,0.23220628047911587,0.548065329256594,0.8921575425969686,1.717180380746419,Switzerland
group,C,Brazil,Morocco,0.4110030944196987,0.3599261480602854,0.22907075752001593,1.2854042490833033,1.0486483924469132,Brazil
group,C,Brazil,Haiti,0.5484403290086936,0.2648292442436629,0.18673042674764354,1.7887491744696267,0.855308160452069,Brazil
group,C,Brazil,Scotland,0.4407522511706427,0.326579193072891,0.23266855575646625,1.5489157590578604,1.0384071666683397,Brazil
group,C,Morocco,Haiti,0.5874008098691098,0.21444508325717723,0.19815410687371293,1.8061680876681536,0.7498244653117163,Morocco
group,C,Morocco,Scotland,0.5042477099821654,0.257780693239549,0.2379715967782856,1.5759650983650313,0.8994536354854937,Morocco
group,C,Haiti,Scotland,0.35984415888321875,0.22759474002107202,0.41256110109570926,1.1144383348743423,1.321778022684747,Scotland
group,D,United States,Paraguay,0.4313585331631144,0.25207846605543893,0.31656300078144667,1.3892224403639806,1.21028442471602,United States
group,D,United States,Australia,0.48540671936561586,0.20238549705765402,0.3122077835767301,1.4194075736270062,1.1950967488421032,United States
group,D,United States,Turkiye,0.24412404035782573,0.3467225225733207,0.40915343706885354,1.0954034918632294,1.5214072122591351,Turkiye
group,D,Paraguay,Australia,0.46889850682625134,0.27806900274342283,0.25303249043032583,1.3497463151084126,1.0440284989874862,Paraguay
group,D,Paraguay,Turkiye,0.2565057056100877,0.36050451876236556,0.38298977562754677,1.0476945829316155,1.3796086591965728,Turkiye
group,D,Australia,Turkiye,0.2541605830192566,0.3492896854877472,0.3965497314929962,1.0445821352734017,1.3601470817872492,Turkiye
