Split,Rows,World Cup Rows,International Rows,Start,End
All supervised rows,14881,964,13917,1930-07-13,2022-12-18
Pre-2022 training pool,14817,900,13917,1930-07-13,2021-12-31
Held-out 2022 World Cup,64,64,0,2022-11-20,2022-12-18
