stage,group,team_a,team_b,p_a_win,p_draw,p_b_win,expected_goals_a,expected_goals_b,projected_winner
group,A,Mexico,South Africa,0.6651474727468846,0.20914826022296476,0.12570426703015064,1.911428768710415,0.6854506370396733,Mexico
group,A,Mexico,South Korea,0.4292881522935445,0.28997647139455507,0.2807353763119003,1.2291145486346917,0.9348622587760004,Mexico
group,A,Mexico,Czech Republic,0.5556187255937384,0.25136346775282203,0.1930178066534397,1.5876343662032344,0.8193830462441664,Mexico
group,A,South Africa,South Korea,0.1741941229213566,0.23673925657823852,0.5890666205004048,0.8069244858210153,1.711499241907751,South Korea
group,A,South Africa,Czech Republic,0.26316493840988947,0.25900281190307806,0.47783224968703264,1.0423010661708223,1.5000963752578902,Czech Republic
group,A,South Korea,Czech Republic,0.47581470916447294,0.2685349319088748,0.2556503589266522,1.4215552314989324,0.9645920180022103,South Korea
group,B,Canada,Bosnia-Herzegovina,0.5286301907396727,0.2614182071823904,0.209951602077937,1.5026494676683742,0.8395420066991682,Canada
group,B,Canada,Qatar,0.5860838416505111,0.2445141080932556,0.1694020502562333,1.6366060363637012,0.74927176083249,Canada
group,B,Canada,Switzerland,0.32858275953131183,0.29168833062650845,0.3797289098421797,1.0438172775724368,1.145253560041591,Switzerland
group,B,Bosnia-Herzegovina,Qatar,0.42551124061140566,0.267095436281291,0.3073933231073033,1.3776205771412977,1.1288573027837514,Bosnia-Herzegovina
group,B,Bosnia-Herzegovina,Switzerland,0.18942206438491355,0.23649850389380897,0.5740794317212774,0.878633051582899,1.7254271278065476,Switzerland
group,B,Qatar,Switzerland,0.14995453997143332,0.2170837104975019,0.6329617495310647,0.7841596167504226,1.8792288952733969,Switzerland
group,C,Brazil,Morocco,0.29307615858049385,0.2708569681230454,0.4360668732964607,1.0660585075499092,1.3635418932946395,Morocco
group,C,Brazil,Haiti,0.6758001038814014,0.1987309041513354,0.1254689919672632,2.0273579220413573,0.7365134582582785,Brazil
group,C,Brazil,Scotland,0.5521721540970624,0.23788875796012848,0.20993908794280905,1.7216123388014821,0.9629724968281713,Brazil
group,C,Morocco,Haiti,0.7231698572133397,0.18368440576491032,0.09314573702175018,2.085524117533727,0.5923550451221314,Morocco
group,C,Morocco,Scotland,0.6113080645146731,0.22903489205580566,0.1596570434295212,1.7710202556117254,0.7744891052079147,Morocco
group,C,Haiti,Scotland,0.24519674037090253,0.26337742155784044,0.49142583807125695,0.9566238526008664,1.4729289620206016,Scotland
group,D,United States,Paraguay,0.3566767897086635,0.2643457796419394,0.37897743064939693,1.27185232443251,1.3193797619534078,Paraguay
group,D,United States,Australia,0.3090703008462957,0.26232807205990144,0.428601627093803,1.1641681901993484,1.4192634890173073,Australia
group,D,United States,Turkiye,0.2199460883707623,0.2378372340761591,0.5422166775530785,1.007003396650258,1.7249570719490441,Turkiye
group,D,Paraguay,Australia,0.3159377430284257,0.27426437450054325,0.409797882471031,1.1083022293974722,1.3024848533274238,Australia
group,D,Paraguay,Turkiye,0.22874617071193462,0.2519636474217525,0.5192901818663129,0.9586793445713254,1.5830330595953268,Turkiye
group,D,Australia,Turkiye,0.2688147284789763,0.264090717736942,0.46709455378408166,1.031257223050783,1.4490057428077374,Turkiye
group,E,Germany,Curacao,0.8151819990507342,0.12639997731150168,0.05841802363776396,2.67890485429031,0.588803046947319,Germany
group,E,Germany,Cote d'Ivoire,0.5926229905815874,0.22834953950377124,0.17902746991464116,1.8006131852415976,0.8743916053675195,Germany
group,E,Germany,Ecuador,0.4234597081766808,0.2770158336111362,0.299524458212183,1.3035504485738374,1.0494874986142682,Germany
group,E,Curacao,Cote d'Ivoire,0.16544082477484953,0.2268111166193514,0.6077480586057991,0.8148130587447979,1.8008330442823046,Cote d'Ivoire
group,E,Curacao,Ecuador,0.08743390250627277,0.17517127313870723,0.7373948243550199,0.589873357166802,2.161330630776049,Ecuador
group,E,Cote d'Ivoire,Ecuador,0.22702699771544577,0.26692715189365124,0.506045850390903,0.8759810502997458,1.4523259813387337,Ecuador
group,F,Netherlands,Japan,0.37957949838763466,0.2799365512619737,0.3404839503503916,1.2140227178502292,1.1341585206414095,Netherlands
group,F,Netherlands,Sweden,0.6727871883524332,0.19358928242411827,0.13362352922344853,2.117515911970475,0.8206046515646871,Netherlands
group,F,Netherlands,Tunisia,0.6759869598278572,0.2004666736422091,0.12354636652993352,2.0012613778985218,0.7150383527562308,Netherlands
group,F,Japan,Sweden,0.6352542632928164,0.21595653618825045,0.14878920051893288,1.8892354285858046,0.7836658275745464,Japan
group,F,Japan,Tunisia,0.6385496697636243,0.22411461885642817,0.13733571137994774,1.78549091910044,0.6828515035360934,Japan
group,F,Sweden,Tunisia,0.38872234687841817,0.2707090581584517,0.3405685949631303,1.2918851811605534,1.1911098023422415,Sweden
group,G,Belgium,Egypt,0.45973430064240367,0.2629217233866453,0.27734397597095095,1.4515043689982263,1.065241959071104,Belgium
group,G,Belgium,Iran,0.37678616412881283,0.2736172536575205,0.3495965822136668,1.2496235125286201,1.1931389366522227,Belgium
group,G,Belgium,New Zealand,0.620783637242894,0.2123298959643811,0.16688646679272473,1.9649331584128547,0.9067976801944789,Belgium
group,G,Egypt,Iran,0.28294977786294523,0.2918506749415771,0.42519954719547753,0.93233471907179,1.2129824802820819,Iran
group,G,Egypt,New Zealand,0.49819247711548237,0.26470169361746587,0.23710582926705184,1.4660651994817742,0.9218790385058837,Egypt
group,G,Iran,New Zealand,0.5757947567766584,0.24462168616984756,0.1795835570534942,1.6420793444105115,0.7936590110675413,Iran
group,H,Spain,Cabo Verde,0.858431741181054,0.1043552788909772,0.03721297992796883,2.810042328052714,0.44812030159883975,Spain
group,H,Spain,Saudi Arabia,0.8455232402134617,0.11123508320603055,0.043241676580507545,2.7684330717897128,0.4913679395174036,Spain
group,H,Spain,Uruguay,0.6868743013355689,0.19941141499274484,0.11371428367168622,1.9830592637064666,0.6578915196974404,Spain
group,H,Cabo Verde,Saudi Arabia,0.32954728188617044,0.2794117069439414,0.39104101116988854,1.1119835965420197,1.2376902321627503,Saudi Arabia
group,H,Cabo Verde,Uruguay,0.1783155331802424,0.24287884019298173,0.578805626626776,0.7961892054446703,1.6571284181293626,Uruguay
