stage,group,team_a,team_b,p_a_win,p_draw,p_b_win,expected_goals_a,expected_goals_b,projected_winner
group,A,Mexico,South Africa,0.444305823913043,0.28610329967429343,0.26959087641266355,1.4940144206562935,0.9208024365290509,Mexico
group,A,Mexico,South Korea,0.2964262399292374,0.33648386569465405,0.36708989437610856,1.028694191616667,1.0799370510139858,South Korea
group,A,Mexico,Czech Republic,0.455499841436739,0.2569893973168551,0.2875107612464059,1.4078216642972428,0.9585194459960669,Mexico
group,A,South Africa,South Korea,0.2923961368917268,0.30784387313854317,0.39975998996973006,1.00850342932863,1.3809202369983726,South Korea
group,A,South Africa,Czech Republic,0.3905841831601776,0.3707777990053088,0.23863801783451358,1.2874761860672845,1.124895089204755,South Africa
group,A,South Korea,Czech Republic,0.4233362611631116,0.24716899920748175,0.3294947396294066,1.3233264900486688,1.0672353759823896,South Korea
group,B,Canada,Bosnia-Herzegovina,0.3826935773285157,0.2790802336013247,0.3382261890701595,1.2504955261673734,1.0328987051732537,Canada
group,B,Canada,Qatar,0.39139217138290405,0.32201051712036133,0.2865973114967346,1.3027379303153124,0.9462715509060587,Canada
group,B,Canada,Switzerland,0.3637002110481262,0.3574749231338501,0.2788248658180237,1.1214608533800945,1.0086244883844584,Canada
group,B,Bosnia-Herzegovina,Qatar,0.28583410382270813,0.3703521192073822,0.34381377696990967,1.1828467593233876,1.230013933505949,Qatar
group,B,Bosnia-Herzegovina,Switzerland,0.30512423232568003,0.2936271814592833,0.4012485862150367,1.0755842700442717,1.422197628815267,Switzerland
group,B,Qatar,Switzerland,0.26568228006362915,0.31212562322616577,0.4221920967102051,0.9947559948832846,1.498177147765641,Switzerland
group,C,Brazil,Morocco,0.4049811359508979,0.3752750474754686,0.2197438165736335,1.2823534681041806,1.0388577727306352,Brazil
group,C,Brazil,Haiti,0.4622938197167569,0.2797047114460256,0.2580014688372174,1.6163648452141903,0.9647755152767261,Brazil
group,C,Brazil,Scotland,0.3727437444703655,0.32698940256269565,0.30026685296693884,1.4219452929426035,1.141341564426272,Brazil
group,C,Morocco,Haiti,0.4550157947833599,0.2883700344452252,0.2566141707714149,1.5482635178894975,0.8617330665604077,Morocco
group,C,Morocco,Scotland,0.3396994668334881,0.3622064482508168,0.29809408491569506,1.2977403556464202,1.0306126805926026,Morocco
group,C,Haiti,Scotland,0.33587981271385586,0.3172876631405253,0.3468325241456188,1.1153093254137458,1.2406267268317552,Scotland
group,D,United States,Paraguay,0.3839139456723316,0.29893256124653106,0.3171534930811373,1.3315052917848107,1.2312984254254746,United States
group,D,United States,Australia,0.39276012778282166,0.323833167552948,0.28340670466423035,1.3245733740154144,1.1963851257993383,United States
group,D,United States,Turkiye,0.32494048327562314,0.36980728090958115,0.30525223581479577,1.2306535117585777,1.3369508299078943,United States
group,D,Paraguay,Australia,0.4052363811362868,0.3568667663077484,0.23789685255596482,1.28172678474526,1.049653300017724,Paraguay
group,D,Paraguay,Turkiye,0.3345300256136037,0.3720015848873629,0.2934683894990334,1.1705651476201058,1.2228544530470218,Paraguay
group,D,Australia,Turkiye,0.32662084698677063,0.3688010573387146,0.30457809567451477,1.164209747595256,1.2085909395256156,Australia
group,E,Germany,Curacao,0.5557608604431152,0.2294837236404419,0.21475541591644287,2.0687674145792436,0.8652339230653459,Germany
group,E,Germany,Cote d'Ivoire,0.34511852264404297,0.33935922384262085,0.3155222535133362,1.3683706700159266,1.1279270985904744,Germany
group,E,Germany,Ecuador,0.27517305984577356,0.37192176664108734,0.3529051735131391,1.093135373098095,1.16922258612393,Ecuador
